id	cardNumber	cardName	categoryId	categoryName	level	imageFile	position	sortOrder	isCenter	question	issue	point	hints	why	what	how	diagramCore	diagramStructure	diagramText
17	1-7セル	何に不安を感じるか	1	子どもの出発点をつかみたい	card	17.jpg	middleLeft	4	FALSE	この学習で、子どもは何に不安を感じるか	子どもの入りにくさは、分からなさへの不安か、間違える不安か、書く・話す不安か、友達と比べられる不安か	不安を、やる気のなさと決めつけない。子どもが何をこわがっているのかを見る。	分からないまま進みそうで不安／間違えそうで不安／書くことが見つからず不安／話すことを聞かれそうで不安／友達と比べられそうで不安／失敗したあとに戻れなさそうで不安	なぜ、子どもはそこに不安を感じるのか。	子どもは、何をこわがっているのか。	その不安があると、子どもはどんな動きをしにくくなるか。	子どもの不安が、学習への入りにくさにつながる様子を図解する。	中心に「不安」／周囲に「分からなさ」「間違い」「書く・話す」「比べられる」／右に「入りにくさ」／下に「こわがっていること」／不安の種類を分けて、何が入りにくさにつながるかを見る図にする。	不安／分からなさ／間違い／書く・話す／比べられる／入りにくさ／こわがっていること／不安の奥には、子どもがこわがっていることがある。
18	1-8セル	どんな思い込みをもつか	1	子どもの出発点をつかみたい	card	18.jpg	topLeft	1	FALSE	この学習で、子どもはどんな思い込みをもつか	子どもの思い込みは、前の経験から来るのか、言葉の印象から来るのか、一部だけを見た判断から来るのか	思い込みを、すぐにまちがいとして直さない。子どもが何を手がかりにそう考えたのかを見る。	前と同じだと思っている／言葉の印象だけで考えている／一つの経験から決めている／一部だけを見て全体だと思っている／自分には関係ないと思っている／難しそう、つまらなそうと決めている	なぜ、子どもはそう思い込むのか。	子どもは、何を手がかりにして決めているのか。	その思い込みから、子どもは何を見落としそうか。	子どもの思い込みの奥に、どんな手がかりや前提があるのかを見る図解にする。	中心に「思い込み」／周囲に「前の経験」「言葉の印象」「一部だけを見た判断」／右に「見落とし」／下に「そう考えた手がかり」／思い込みから、見落としが生まれる流れを示す。	思い込み／前の経験／言葉の印象／一部だけを見た判断／見落とし／そう考えた手がかり／思い込みの奥には、子どもなりの手がかりがある。
20	2中心セル	教材・単元の芯をつかむ8つの視点	2	教材・単元の芯をつかみたい	category	20.jpg	center	5	TRUE			この8つの視点で、教材・単元の芯をつかむ。					教材・単元の芯をつかむ8つの視点	配置：2-8／2-1／2-2、2-7／2中心／2-3、2-6／2-5／2-4	この単元で何を学ぶか／教材のどこに価値があるか／子どもに何を考えさせたいか／どの見方・考え方を働かせるか／どこで意味づけが動くか／何を比べると芯が見えるか／単元の出口は何か／削ってはいけないものは何か
21	2-1セル	この単元で何を学ぶか	2	教材・単元の芯をつかみたい	card	21.jpg	topCenter	2	FALSE	この単元で、子どもは何を学ぶのか	この単元で扱う内容の中で、子どもに必ずつかませたい中心は何か	活動や教材名で単元をとらえない。子どもが何を分かるようになる単元なのかを見る。	教科書で何度も出てくる言葉／単元の最後まで残る考え／子どもが使えるようになる見方／前後の単元とつながる内容／活動を変えても残る学び／説明しないと授業が散らばる中心	なぜ、この内容をこの単元で学ぶのか。	子どもに必ずつかませたい中心は何か。	その中心を、どの教材や活動で確かめるか。	単元で扱う内容・見方・教材・活動を、単元の中心へ結びつける図解にする。	中心に「単元の中心」／周囲に「内容」「見方」「教材」「活動」／4つが「単元の中心」へつながる図にする／下に「この単元で最後まで残ること」を置く。	単元の中心／内容／見方／教材／活動／この単元で最後まで残ること
22	2-2セル	教材のどこに価値があるか	2	教材・単元の芯をつかみたい	card	22.jpg	topRight	3	FALSE	この教材のどこに、子どもが考えたくなる価値があるか	子どもが立ち止まり、考えを出したくなる言葉・場面・資料・事実はどこか	教材全体を同じ重さで扱わない。子どもの考えが動く一点を見る。	何度も立ち返りたくなる言葉／考えが分かれそうな場面／比べると違いが見える部分／子どもが引っかかりそうな表現／根拠になりそうな資料や事実／単元の中心につながる一部分	なぜ、そこに教材の価値があるのか。	子どもに、教材のどこを見せたいのか。	そこから、子どもは何を考え始めるか。	教材の価値が、言葉・場面・資料・事実のどこにあるのかを見分ける図解にする。	中心に「教材の価値」／周囲に「言葉」「場面」「資料」「事実」／下に「考えが動く一点」／教材のどこから子どもの考えが動き出すかを見る図にする。	教材の価値／言葉／場面／資料／事実／考えが動く一点／ここから問いが生まれる。
23	2-3セル	子どもに何を考えさせたいか	2	教材・単元の芯をつかみたい	card	23.jpg	middleRight	6	FALSE	この単元で、子どもに何を考えさせたいのか	子どもが答えを覚えるのではなく、考えて見つけるべきことは何か	教師が説明したいことを、そのまま問いにしない。子どもが考える余地を残す。	すぐには答えが出ないこと／考えが分かれそうなこと／根拠を探したくなること／前の考えを見直す必要があること／友達の考えを聞くと変わりそうなこと／教材に戻ると確かめられること	なぜ、それを子どもに考えさせたいのか。	子どもは、何を考えて見つけるのか。	その考えを、子どもは何を手がかりに確かめるか。	子どもが問い・根拠・友達の考え・教材を手がかりに、自分の考えをつくる様子を図解する。	中心に「考えさせたいこと」／周囲に「問い」「根拠」「友達の考え」「教材に戻る」／下に「自分の考えをつくること」／教師が答えを渡すのではなく、子どもが考える構造にする。	考えさせたいこと／問い／根拠／友達の考え／教材に戻る／自分の考えをつくること
24	2-4セル	どの見方・考え方を働かせるか	2	教材・単元の芯をつかみたい	card	24.jpg	bottomRight	9	FALSE	この単元で、子どもはどの見方・考え方を働かせるのか	子どもは、何を比べ、何に注目し、どんな関係で考えるのか	活動の流れだけを追わない。子どもが何を手がかりに考えるかを見る。	何と何を比べるか／どこに注目するか／どんな順番で考えるか／関係をどう見つけるか／どんな言葉で説明するか／別の場合でも使えそうか	なぜ、その見方・考え方が必要なのか。	子どもは、何を手がかりに考えるのか。	子どもは、どう比べ、どう関係づけるのか。	子どもが働かせる見方・考え方を、具体的な思考の動きに分けて見る図解にする。	中心に「見方・考え方」／周囲に「比べる」「注目する」「関係づける」「説明する」／下に「考える手がかり」／子どもが何を手がかりに考えるかを見えるようにする。	見方・考え方／比べる／注目する／関係づける／説明する／考える手がかり
25	2-5セル	どこで意味づけが動くか	2	教材・単元の芯をつかみたい	card	25.jpg	bottomCenter	8	FALSE	この単元で、子どもの意味づけはどこで動くのか	子どもが、最初の見方を見直すきっかけは、どの言葉・事実・対話・比較にあるか	考えの変化を、最後のまとめだけで見ない。授業の途中で生まれる迷い、違和感、言い直しを見る。	最初の予想と違ったこと／友達の考えを聞いて迷ったこと／比べると見え方が変わったこと／根拠を見直したくなったこと／説明できなくなったこと／もう一度教材に戻ったこと	なぜ、子どもの意味づけはそこで動くのか。	何が、子どもの見方を変えているのか。	子どもは、何を手がかりに考え直しているのか。	子どもの意味づけが、言葉・事実・対話・比較によって動く様子を図解する。	中心に「意味づけが動く」／周囲に「言葉」「事実」「対話」「比較」／下に「見直し・言い直し」／最初の見方がどう動くのかを示す図にする。	意味づけが動く／言葉／事実／対話／比較／見直し・言い直し
26	2-6セル	何を比べると芯が見えるか	2	教材・単元の芯をつかみたい	card	26.jpg	bottomLeft	7	FALSE	この単元は、何を比べると学びの芯が見えてくるのか	子どもが比べることで見えてくる違い・共通点・変化は何か	比べる活動を増やさない。何を比べると、子どもの見方が動くかを見る。	前と後で変わったこと／似ているようで違うこと／立場によって見え方が違うこと／条件が変わると結果が変わること／共通点を見つけられること／比べることで問いが生まれること	なぜ、その比較が必要なのか。	子どもは、何と何を比べるのか。	比べることで、子どもは何に気づくのか。	比べることで、違い・共通点・変化が見え、子どもの見方が変わる様子を図解する。	中心に「比べる」／左に「違い」／右に「共通点」／下に「見方が変わる」／比べることで、見えなかったことが見えてくる図にする。	比べる／違い／共通点／見方が変わる／比べることで、見えなかったことが見え、新しい問いや考えが生まれる。
27	2-7セル	単元の出口は何か	2	教材・単元の芯をつかみたい	card	27.jpg	middleLeft	4	FALSE	この単元のあと、子どもに何が残るのか	子どもに残したいのは、覚えた内容か、次に使える見方・言葉・問いか	活動を終えることを、単元の出口にしない。単元後に子どもが使えるものを見る。	別の場面でも使えそうな見方／自分から使いたくなる言葉／前より説明できるようになったこと／次に考えたくなる問い／生活や他教科につなげられること／最初の考えを見直したあとに残ること	なぜ、それを子どもに残したいのか。	子どもに、何が残るのか。	子どもは、それを次にどう使うのか。	学習前から学習後への変化を通して、単元後に残る見方・言葉・問いを図解する。	左に「学習前」／中心に「単元の出口」／右に「学習後」／下に「次に使える見方・言葉・問い」／単元を終えたあと、子どもに何が残るかを見る図にする。	学習前／単元の出口／学習後／次に使える見方・言葉・問い
28	2-8セル	削ってはいけないものは何か	2	教材・単元の芯をつかみたい	card	28.jpg	topLeft	1	FALSE	この単元で、削ってはいけないものは何か	時間を短くしても、単元の芯を保つために残す言葉・事実・問い・比較は何か	活動を減らしても、学びを薄くしない。子どもの見方が動くものを残す。	単元の中心につながる言葉／子どもの考えが動く場面／根拠になる事実や資料／何度も戻りたい問い／比べることで見えてくる違い／単元後にも残したい見方	なぜ、それは削ってはいけないのか。	この単元で、何を必ず残すのか。	何を残すと、単元の芯が保たれるのか。	時間を短くしても、単元の芯を保つために残すものを図解する。	中心に「削ってはいけないもの」／周囲に「言葉」「事実」「問い」「比較」／下に「単元の芯を保つ」／何を残せば単元の芯が保たれるかを見る図にする。	削ってはいけないもの／言葉／事実／問い／比較／単元の芯を保つ
30	3中心セル	教科で課題解決的な学習を組み立てる8つの視点	3	教科で課題解決的な学習を組み立てたい	category	30.jpg	center	5	TRUE			この8つの視点で、子どもの考えの動きを組み立てる。					教科で課題解決的な学習を組み立てる8つの視点	配置：3-8／3-1／3-2、3-7／3中心／3-3、3-6／3-5／3-4	どんな課題に向かうか／何を手がかりに考えるか／どこで考えを比べるか／どこで考えを更新するか／根拠と考えはつながっているか／どこで立ち止まるか／どう学びを結ぶか／何が次に使えるか
31	3-1セル	どんな課題に向かうか	3	教科で課題解決的な学習を組み立てたい	card	31.jpg	topCenter	2	FALSE	この学習で、子どもは何を考える課題に向かうのか	その課題は、教師が進めたい活動ではなく、子どもが自分の考えをもって向かえる問いになっているか	活動名で課題をつくらない。子どもが何を考えるのかを先に見る。	答えを写すだけで終わらない／手順をこなすだけで終わらない／子どもが迷えるところがある／考えを選ぶ場面がある／根拠をもって言えるところがある／友達と考えを比べられる	なぜ、子どもはその課題を考える必要があるのか。	子どもは、その課題で何を考えるのか。	子どもは、どの場面で自分の考えをもちそうか。	活動名ではなく、子どもが考える対象としての課題を見分ける図解にする。	中心に「考える課題」／左に「教師が進めたい活動」／右に「子どもが考える問い」／下に「自分の考えをもつ場面」／活動名から課題を作るのではなく、子どもが考える対象へ絞る図にする。	考える課題／教師が進めたい活動／子どもが考える問い／自分の考えをもつ場面
32	3-2セル	何を手がかりに考えるか	3	教科で課題解決的な学習を組み立てたい	card	32.jpg	topRight	3	FALSE	この学習で、子どもは何を手がかりにして考え始めるのか	子どもが課題に向かうとき、最初に目を向ける言葉・資料・事実は何か	手がかりを増やしすぎない。子どもが考え始める一点を先に見る。	本文や資料のどこを見るか／どの言葉に注目するか／どの事実を使うか／何と何を比べるか／前の学びのどこを使うか／最初の考えがどこから出るか	なぜ、子どもはそこを手がかりにできるのか。	子どもは、何を見て考え始めるのか。	その手がかりから、子どもはどんな考えを出しそうか。	子どもがどこを見て考え始めるかを整理する図解にする。	中心に「考え始める手がかり」／周囲に「言葉」「資料」「事実」「比べるもの」「前の学び」／下に「最初の考え」／子どもが何を見て考え始めるかを整理する図にする。	考え始める手がかり／言葉／資料／事実／比べるもの／前の学び／最初の考え
33	3-3セル	どこで考えを比べるか	3	教科で課題解決的な学習を組み立てたい	card	33.jpg	middleRight	6	FALSE	この学習で、子どもはどこで考えの違いを比べるのか	子どもの考えを比べる場面は、発表の場ではなく、考えの違いから考え直す必要が生まれる場面になっているか	考えを並べるだけで終わらせない。違いから、何を考え直せるのかを見る。	答えが分かれている／根拠が違っている／見ているところが違っている／比べると迷いが生まれる／自分の考えを言い直せる／比べたあとに考えが変わる余地がある	なぜ、その違いを比べる必要があるのか。	子どもは、どの考えの違いを比べるのか。	比べたあと、子どもは何を考え直しそうか。	考えを並べる場面から、考え直す場面へつなぐ図解にする。	中心に「考えの違いを比べる」／左右に「自分の考え」「友達の考え」／上に「答えの違い」「根拠の違い」「見ているところの違い」／下に「考え直す必要」／考えを並べるだけでなく、違いから考え直す図にする。	考えの違いを比べる／自分の考え／友達の考え／答えの違い／根拠の違い／見ているところの違い／考え直す必要
34	3-4セル	どこで考えを更新するか	3	教科で課題解決的な学習を組み立てたい	card	34.jpg	bottomRight	9	FALSE	この学習で、子どもはどこで考えを更新するのか	子どもの考えが更新される場面は、正解に合わせる場面ではなく、根拠や友達の考えにふれて、自分の考えを言い直す場面になっているか	考えの変化を、間違いの修正だけにしない。何にふれて、考えを言い直したのかを見る。	友達の根拠を聞いて考え直す／自分が見落としていたところに気づく／別の見方を取り入れる／最初の考えに理由を足す／言い方を変えて説明し直す／まだ決めきれない理由を言える	なぜ、子どもの考えはそこで更新されるのか。	子どもは、何にふれて考えを言い直すのか。	考えを更新したあと、子どもはどう説明し直しそうか。	考えが正解へ置き換わるのではなく、根拠や見方によって言い直される図解にする。	左に「最初の考え」／中心に「考えを更新する」／周囲に「友達の根拠」「見落とし」「別の見方」「理由の付け足し」／右に「言い直した考え」／下に「まだ決めきれない理由」／考えが根拠や見方によって更新される図にする。	最初の考え／考えを更新する／友達の根拠／見落とし／別の見方／理由の付け足し／言い直した考え／まだ決めきれない理由
35	3-5セル	根拠と考えはつながっているか	3	教科で課題解決的な学習を組み立てたい	card	35.jpg	bottomCenter	8	FALSE	この学習で、子どもの考えは何を根拠にしているのか	子どもの考えは、思いつきや感想だけでなく、根拠とつながった説明になっているか	根拠を言わせるだけで終わらせない。その根拠で、本当にその考えが言えるのかを見る。	考えのもとになった言葉がある／考えのもとになった事実がある／根拠と考えの間にずれがある／根拠だけを読んでいて、考えになっていない／考えだけを言っていて、根拠がない／根拠を使って説明し直せる	なぜ、その根拠からその考えが言えるのか。	子どもの考えは、何を根拠にしているのか。	根拠と考えのつながりを、子どもはどう説明しそうか。	根拠を集める図ではなく、根拠から考えが言えるかを確かめる図解にする。	左に「根拠」／右に「考え」／中央に「つながり」／上に「言葉・事実」／下に「ずれ」「説明し直し」／根拠と考えのつながりを確かめる図にする。	根拠／考え／つながり／言葉・事実／ずれ／説明し直し
36	3-6セル	どこで立ち止まるか	3	教科で課題解決的な学習を組み立てたい	card	36.jpg	bottomLeft	7	FALSE	この学習で、子どもはどこで立ち止まって考えを確かめるのか	子どもが課題を進める途中で、分かったつもりのまま進まず、考えの筋道やずれを確かめる場面があるか	先へ進めることを急がない。子どもが何を確かめれば、次の考えに進めるのかを見る。	分かったつもりで進んでいる／説明の途中で言葉が止まる／考えの筋道が途中で切れている／友達との違いを確かめる必要がある／もう一度見直すところがある／次に考えることを絞れる	なぜ、子どもはそこで立ち止まる必要があるのか。	子どもは、何を確かめるために立ち止まるのか。	立ち止まったあと、子どもはどう考えを進めそうか。	活動を止める図ではなく、考えを整えて次へ進む図解にする。	左に「進める」／中心に「立ち止まって確かめる」／周囲に「分かったつもり」「言葉が止まる」「筋道の切れ目」「友達との違い」「見直すところ」／右に「次に考えること」／考えを整えて次へ進む図にする。	進める／立ち止まって確かめる／分かったつもり／言葉が止まる／筋道の切れ目／友達との違い／見直すところ／次に考えること
37	3-7セル	どう学びを結ぶか	3	教科で課題解決的な学習を組み立てたい	card	37.jpg	middleLeft	4	FALSE	この学習で、子どもは課題に戻って何を言えるのか	子どものまとめは、教師の言葉を写す場面ではなく、課題について考えたことを、根拠や見方と結びつけて言える場面になっているか	まとめを板書にそろえすぎない。子どもが何を考え、何を根拠に、どう言えるようになったのかを見る。	課題に戻って言えている／最初の考えとの違いがある／根拠を入れて説明している／考え直したことが入っている／友達との違いをふまえている／別の場面でも使える見方がある	なぜ、それがこの学習のまとめになるのか。	子どもは、課題に戻って何を言えるのか。	子どもは、考えたことをどのように結び直しそうか。	課題に戻り、考えた過程を教科の学びとして結ぶ図解にする。	左に「課題」／中心に「学びを結ぶ」／周囲に「最初の考え」「根拠」「考え直したこと」「友達との違い」「使える見方」／右に「課題に戻って言えること」／考えた過程を教科の学びとして結ぶ図にする。	課題／学びを結ぶ／最初の考え／根拠／考え直したこと／友達との違い／使える見方／課題に戻って言えること
38	3-8セル	何が次に使えるか	3	教科で課題解決的な学習を組み立てたい	card	38.jpg	topLeft	1	FALSE	この学習のあと、子どもは何を次に使えるのか	子どもに残るものは、感想や疑問だけでなく、別の場面でも使える見方・考え方・確かめ方になっているか	学習をきれいに終わらせすぎない。子どもが次に使えるものとして、何を持ち帰るのかを見る。	別の場面でも使える見方がある／似た問題で試せる考え方がある／もう一度使えそうな確かめ方がある／次に比べられることがある／考え直すときの手がかりが残っている／次の学習につながる問いがある	なぜ、それは次にも使えるのか。	子どもは、この学習から何を持ち帰るのか。	子どもは、それを次にどう使いそうか。	学習の終わりから、次に使える教科の学びへつなぐ図解にする。	左に「この学習で分かったこと」／中心に「次に使えるもの」／周囲に「見方」「考え方」「確かめ方」「比べ方」「考え直す手がかり」／右に「次の場面へ」／学習の終わりを、次に使える教科の学びへつなぐ図にする。	この学習で分かったこと／次に使えるもの／見方／考え方／確かめ方／比べ方／考え直す手がかり／次の場面へ
40	4中心セル	書く・話す活動を、学びにつなげる8つの視点	4	書く・話す活動を、学びにつなげたい	category	40.jpg	center	5	TRUE			この8つの視点で、書く・話す活動を、学びにつなげる。					書く・話す活動を、学びにつなげる8つの視点	配置：4-8／4-1／4-2、4-7／4中心／4-3、4-6／4-5／4-4	何を書く・話すのか／何をもとにするのか／だれに向けるのか／友達の言葉とどうつなぐのか／追究にどうつなぐのか／言葉をどう整えるのか／どこで言葉が止まるのか／言葉で何が変わるのか
41	4-1セル	何を書く・話すのか	4	書く・話す活動を、学びにつなげたい	card	41.jpg	topCenter	2	FALSE	この学習で、子どもは何を書く・話すのか	子どもが書く・話す内容は、感想、考え、根拠、迷い、気づきのどれにあたるのか	「書く」「話す」という活動名で終わらせない。子どもが何を言葉にするのかを見る。	分かったことを書く／自分の考えを書く／理由や根拠を入れる／迷っていることを言葉にする／友達の考えとの違いを話す／考えが変わったところを書く	なぜ、ここで子どもに書かせる・話させるのか。	子どもは、何を言葉にするのか。	書く・話すことで、子どもの考えの何が表れそうか。	中心に「言葉にする中身」。周囲に「感想」「考え」「根拠」「迷い」「気づき」を置く。下に「活動名で止めない」を置く。「書く」「話す」は左右に小さく置き、中心へつなげる。	書く／話す／言葉にする中身／感想／考え／根拠／迷い／気づき／活動名で止めない。	書く／話す／言葉にする中身／感想／考え／根拠／迷い／気づき／活動名で止めない。
